agency,subject_race,subject_sex,subject_age,search_conducted,contraband_found,arrest_made,total_missing
ct_hartford_2020_04_01,0.0,0.0,0.021693150387765,0.0,71.88025380985954,0.0271164379847063,11.988177233038668
la_new_orleans_2020_04_01,2.212,2.212,2.34,0.0,85.616,0.0,15.396666666666667
nc_charlotte_2020_04_01,0.0,0.0,0.0,0.0,92.834,0.0,15.472333333333333
nc_durham_2020_04_01,0.001,0.001,0.001,0.0,93.321,0.0,15.554
nc_fayetteville_2020_04_01,0.0,0.0,0.0,0.0,93.86,0.0,15.643333333333333
nc_greensboro_2020_04_01,0.004,0.004,0.004,0.0,93.921,0.0,15.655500000000002
pa_philadelphia_2020_04_01,0.0,0.009,0.613,0.0,93.462,0.0,15.680666666666667
nc_raleigh_2020_04_01,0.0,0.0,0.0,0.0,94.426,0.0,15.737666666666668
ct_statewide_2020_04_01,0.0,0.0,0.122,0.0,95.364,0.0,15.914333333333333
tn_nashville_2020_04_01,0.065,0.051,0.021,0.002,95.88,0.001,16.003333333333334
