subject_race,stops,searches,hits,search_rate_%,hit_rate_%,agency
asian/pacific islander,176,47,0,26.704545454545453,0.0,ct_hartford_2020_04_01
black,7104,2037,35,28.673986486486484,1.718213058419244,ct_hartford_2020_04_01
hispanic,5073,1389,25,27.38024837374335,1.7998560115190785,ct_hartford_2020_04_01
other,29,10,0,34.48275862068966,0.0,ct_hartford_2020_04_01
white,6057,1705,21,28.149248803037807,1.2316715542521994,ct_hartford_2020_04_01
asian/pacific islander,3793,205,41,5.404692855259689,20.0,la_new_orleans_2020_04_01
black,349819,57940,11438,16.56285107441277,19.741111494649637,la_new_orleans_2020_04_01
hispanic,13491,1668,164,12.363798087613965,9.832134292565947,la_new_orleans_2020_04_01
other,342,29,5,8.47953216374269,17.24137931034483,la_new_orleans_2020_04_01
unknown,3214,188,34,5.8494088363410075,18.085106382978726,la_new_orleans_2020_04_01
white,129703,15296,2463,11.79309653593209,16.102248953974897,la_new_orleans_2020_04_01
asian/pacific islander,27506,750,156,2.726677815749291,20.8,nc_charlotte_2020_04_01
black,796085,62486,16745,7.8491618357336215,26.798002752616583,nc_charlotte_2020_04_01
hispanic,162698,9949,1734,6.115010633197704,17.428887325359334,nc_charlotte_2020_04_01
other,896,59,16,6.584821428571429,27.11864406779661,nc_charlotte_2020_04_01
unknown,24727,481,104,1.9452420431107695,21.62162162162162,nc_charlotte_2020_04_01
white,586541,19157,5092,3.266097340168889,26.58036226966644,nc_charlotte_2020_04_01
asian/pacific islander,4935,76,14,1.5400202634245188,18.421052631578945,nc_durham_2020_04_01
black,180851,15382,4203,8.505344178356768,27.324145104667792,nc_durham_2020_04_01
hispanic,38968,2625,435,6.7362964483678915,16.57142857142857,nc_durham_2020_04_01
other,1263,35,9,2.771179730799683,25.71428571428571,nc_durham_2020_04_01
unknown,2591,66,14,2.5472790428406022,21.21212121212121,nc_durham_2020_04_01
white,97415,3522,957,3.615459631473592,27.17206132879046,nc_durham_2020_04_01
asian/pacific islander,5711,95,30,1.6634564874803013,31.57894736842105,nc_fayetteville_2020_04_01
black,274013,17746,4747,6.476335064394754,26.749690071001915,nc_fayetteville_2020_04_01
hispanic,28303,1018,191,3.5967918595201924,18.762278978389,nc_fayetteville_2020_04_01
other,5000,370,105,7.3999999999999995,28.37837837837838,nc_fayetteville_2020_04_01
unknown,3448,105,23,3.0452436194895594,21.904761904761905,nc_fayetteville_2020_04_01
white,170523,5893,1444,3.4558388018038624,24.50364839640251,nc_fayetteville_2020_04_01
asian/pacific islander,10401,258,65,2.480530718200173,25.1937984496124,nc_greensboro_2020_04_01
black,299893,20654,6091,6.8871230738963565,29.490655563087053,nc_greensboro_2020_04_01
hispanic,27929,1828,377,6.545168104837266,20.62363238512035,nc_greensboro_2020_04_01
other,2344,96,23,4.09556313993174,23.958333333333336,nc_greensboro_2020_04_01
unknown,5886,199,57,3.380903839619436,28.643216080402013,nc_greensboro_2020_04_01
white,253574,8901,2665,3.5102179245506244,29.940456128524882,nc_greensboro_2020_04_01
asian/pacific islander,40245,1128,251,2.802832650018636,22.25177304964539,pa_philadelphia_2020_04_01
black,1244249,79661,21929,6.402335866856232,27.52789947402117,pa_philadelphia_2020_04_01
hispanic,184184,14042,4782,7.623897841289145,34.05497792337274,pa_philadelphia_2020_04_01
other,5598,187,25,3.3404787424080027,13.368983957219251,pa_philadelphia_2020_04_01
unknown,14958,590,136,3.944377590586977,23.050847457627118,pa_philadelphia_2020_04_01
white,375862,20847,6107,5.546450558981754,29.294382884827552,pa_philadelphia_2020_04_01
asian/pacific islander,15349,225,30,1.465893543553326,13.333333333333334,nc_raleigh_2020_04_01
black,383628,19395,3198,5.05567893897213,16.48878576952823,nc_raleigh_2020_04_01
hispanic,87460,4568,359,5.222959067002058,7.859019264448336,nc_raleigh_2020_04_01
other,555,30,6,5.405405405405405,20.0,nc_raleigh_2020_04_01
unknown,8089,146,19,1.804920262084312,13.013698630136986,nc_raleigh_2020_04_01
white,361319,8926,1270,2.4703931982541745,14.228097692135336,nc_raleigh_2020_04_01
asian/pacific islander,20892,383,53,1.8332376029102049,13.838120104438643,ct_statewide_2020_04_01
black,162138,11807,2354,7.282068361519199,19.93732531549081,ct_statewide_2020_04_01
hispanic,141613,9833,1869,6.943571564757472,19.007423980473913,ct_statewide_2020_04_01
other,6401,105,15,1.6403686923918137,14.285714285714285,ct_statewide_2020_04_01
white,844295,23868,6599,2.8269739842116794,27.647896765543823,ct_statewide_2020_04_01
asian/pacific islander,41668,833,144,1.999136027647115,17.286914765906364,tn_nashville_2020_04_01
black,1165871,67985,14752,5.831262635403059,21.69890417003751,tn_nashville_2020_04_01
hispanic,164814,10165,1231,6.167558581188491,12.110181997048697,tn_nashville_2020_04_01
other,10397,243,50,2.3372126574973553,20.5761316872428,tn_nashville_2020_04_01
unknown,36878,590,97,1.5998698410976735,16.440677966101696,tn_nashville_2020_04_01
white,1670873,47826,9971,2.862336036311557,20.848492451804457,tn_nashville_2020_04_01
